Title,description,Link,Score,Story_author,Painting_author,Author,Day,Genre,Image_Source,isDone,tags
이말년씨리즈,"독특한 이야기 전개 방식을 확립한 이말년 작가가 선보이는

엉뚱한 상상과 황당한 설정의 새로운 개그 웹툰",https://comic.naver.com/webtoon/list?titleId=103759,8.96,이말년,이말년,,,개그,https://image-comic.pstatic.net/webtoon/103759/thumbnail/thumbnail_IMAG21_3546920286159910456.jpg,TRUE,#개그 #완결무료 #완결개그
최면학교,"지금부터 당신은 최면에 빠집니다...'
최면능력을 가진 주인공 김찬규는 여자에게 인기를 얻고 싶어 열심히 최면을 이용해보지만 매번 뜻대로 되지 않는다. 
거듭되는 실패 속에 만난 비범한 능력의 소녀와 김찬규, 특별하지만 안타까운 그들의 이야기. 이것은 개그만화가 아닙니다!",https://comic.naver.com/webtoon/list?titleId=776656,9.68,박은혁,박은혁,,토,개그,https://image-comic.pstatic.net/webtoon/776656/thumbnail/thumbnail_IMAG21_3559314170173470050.jpg,FALSE,#개그 #4차원
2022 서브병에 빠지다!,"서브병에 걸린 사람들 모두 모여라!
​
우리가 주인공들만큼 사랑했던 서브캐들. 
로맨스부터 액션, 개그 웹툰까지!
주인공 뒤에 가려져 있었지만 누구보다 작품을 빛내주었던 그들의 매력발산이 시작된다!",https://comic.naver.com/webtoon/list?titleId=787411,9.88,네이버웹툰 작가,네이버웹툰 작가,,,개그,https://image-comic.pstatic.net/webtoon/787411/thumbnail/thumbnail_IMAG21_3978140152361332789.jpg,TRUE,#개그 #완결무료 #완결개그
마음의소리,"솔직 담백 최강의 개그 만화 <마음의 소리>
날 가져요 엉엉",https://comic.naver.com/webtoon/list?titleId=20853,9.86,조석,조석,,,개그,https://image-comic.pstatic.net/webtoon/20853/thumbnail/thumbnail_IMAG21_3473455334371243620.jpg,TRUE,#개그 #드라마&영화 원작웹툰 #4차원 #완결개그
마침내 사랑이에요 마왕님!,"마계를 통일하고 잠시 마왕성을 떠나 권태로운 일상을 보내던 마왕 엘리고르(600살)는 산책 중에 외모에 혹해 한 소년을 구한다.
연약하고 부드러운 얼굴, 해사한 표정의 미소년, 제레미엘!!
그는 성기사요, 나는 마왕!
한낱 인간에 흔들리는 이 감정은, “역시 분노인가?”",https://comic.naver.com/webtoon/list?titleId=797760,9.97,밀크마스터,밀크마스터,,화,개그,https://image-comic.pstatic.net/webtoon/797760/thumbnail/thumbnail_IMAG21_23126df1-63b2-4998-8a77-99bfa3e598cc.jpg,FALSE,#개그 #로맨스코미디 #로판
영앤리치가 아니야!,"<공대생 너무만화> 최삡뺩 작가의 개그로맨스 신작! 
모든 게 완벽한 퍼렁식품 CEO의 아들 서민준.
어른들과 친구들에게는 인기 폭발이지만, 여자친구를 사귀어 본 적 없는 모태솔로다.
민준은 같은 학교 여학생 새영에게 반하게 되는데, 새영의 이상형은 흙수저이지만 노력하는 사람이고, 자기보다 잘난 남자를 매우 싫어한다고?
사랑을 얻기 위해 영앤리치를 숨겨야하는 민준이의 첫 연애 도전기!",https://comic.naver.com/webtoon/list?titleId=734574,9.95,최삡뺩,최삡뺩,,월,개그,https://image-comic.pstatic.net/webtoon/734574/thumbnail/thumbnail_IMAG21_8688bbf6-1067-465b-9070-4fef7c1ab1cd.jpg,FALSE,#개그 #재벌
놓지마 정신줄,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!

본격 유체이탈 예방 프로젝트 ‘놓지마 정신줄!’",https://comic.naver.com/webtoon/list?titleId=81482,9.92,신태훈,나승훈,,,개그,https://image-comic.pstatic.net/webtoon/81482/thumbnail/thumbnail_IMAG21_3702579259720938341.jpg,TRUE,#개그 #드라마&영화 원작웹툰 #완결무료 #완결개그
하렘에서 살아남기,"전직 복서 ‘유준’. 여친에게도 차이고, 자동차에도 차인 후 눈을 뜬 곳은 연애 시뮬레이션 게임 속! 
게임 시스템은 [남자 캐릭터들을 공략하면 환생할 수 있다] 고 말하고,
유준은 여자친구였던 ‘지혜’를 다시 한 번 만나고자 하는 강렬한 마음에 퀘스트를 수락한다.
하지만 남자 캐릭터들의 '하♡트'를 공략해야 하는데, 어째서인지 주먹이 먼저 나간다?!",https://comic.naver.com/webtoon/list?titleId=794944,9.96,전분,전분,,일,개그,https://image-comic.pstatic.net/webtoon/794944/thumbnail/thumbnail_IMAG21_494e291d-009d-4ab1-802f-9f6c056fb7cc.jpg,FALSE,#개그
대학일기,"로망이 꽃피는 캠퍼스는 없다.
극사실주의에 기반한 너무나 현실적인 우리의 대학일기",https://comic.naver.com/webtoon/list?titleId=679519,9.97,자까,자까,,,개그,https://image-comic.pstatic.net/webtoon/679519/thumbnail/thumbnail_IMAG21_3559076483126814265.jpg,TRUE,#개그 #완결개그
조선왕조실톡휴재,"어느 날 메신저로 찾아온, 조선 시대 그분들의 시시콜콜한 이야기.
무적핑크 작가 신작!",https://comic.naver.com/webtoon/list?titleId=642598,9.89,무적핑크,무적핑크,,,개그,https://image-comic.pstatic.net/webtoon/642598/thumbnail/thumbnail_IMAG21_7233169349047182181.jpg,TRUE,#개그
와탕카,"와탕카='만세','지화자'

좋은 패가 들어오면 외치는 단어 와탕카! 우주인 작가님의 불타는 유머 센스에 우리 모두 와탕카!!",https://comic.naver.com/webtoon/list?titleId=15938,9.63,우주인,우주인,,,개그,https://image-comic.pstatic.net/webtoon/15938/thumbnail/thumbnail_IMAG21_7378081889248240185.jpg,TRUE,#개그 #완결무료 #완결개그
놓지마 정신줄 시즌2,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!
본격 유체이탈 예방 프로젝트 '놓지마 정신줄'을 이제 컷툰으로 만나보세요",https://comic.naver.com/webtoon/list?titleId=682637,9.95,신태훈,나승훈,,,개그,https://image-comic.pstatic.net/webtoon/682637/thumbnail/thumbnail_IMAG21_4062583732004008244.jpg,TRUE,#개그 #드라마&영화 원작웹툰 #완결무료 #완결개그
쿠쿠쿠쿠휴재,"어느 날, 남극에서나 사는 줄 알았던 펭귄이 너드남 공선생 집에 난입했다!
할 줄 아는 말은 '쿠쿠'밖에 없는 그 녀석은 심지어 아프리카에서 왔다나?
한국을 자신의 고향인 볼더스 비치처럼 여유와 낭만이 넘치는 곳으로 바꾸겠다는 쿠쿠와 엉겁결에 같이 살게 된 공선생.
그 둘의 앞에 하드한 K-라이프가 펼쳐지게 되는데!",https://comic.naver.com/webtoon/list?titleId=798100,9.89,신의철,신의철,,,개그,https://image-comic.pstatic.net/webtoon/798100/thumbnail/thumbnail_IMAG21_534781c7-b360-4d30-be0a-034fbff24682.jpg,TRUE,#개그 #슈퍼스트링 #4차원 #동물
선천적 얼간이들,"뭘해도 안되는 얼간이 신인류가 떴다!
낙천적 우유부단 가스파드와
말초적 친구들의 좌충우돌 라이프",https://comic.naver.com/webtoon/list?titleId=697680,9.98,가스파드,가스파드,,,개그,https://image-comic.pstatic.net/webtoon/697680/thumbnail/thumbnail_IMAG21_7305741733687932214.jpg,TRUE,#개그 #4차원 #완결개그
이말년씨리즈 2018,"2018년에 풀어내는 이말년의 망상, 
그리고 일상",https://comic.naver.com/webtoon/list?titleId=704595,8.81,이말년,이말년,,,개그,https://image-comic.pstatic.net/webtoon/704595/thumbnail/thumbnail_IMAG21_3978194032709283938.jpg,TRUE,#개그 #완결개그
입시명문사립 정글고등학교,"입시명문 사립 정글고등학교 입학권!! 각 계층의 다양한 학생들과 모든 군더더기 교육을 쫙~ 뺌으로서
교육의 몸짱이라 할 수 있는 정글고등학교에 오신 것을 환영합니다.",https://comic.naver.com/webtoon/list?titleId=15640,9.91,김규삼,김규삼,,,개그,https://image-comic.pstatic.net/webtoon/15640/thumbnail/thumbnail_IMAG21_4122822491576022625.jpg,TRUE,#개그 #완결개그
역전! 야매요리,"그녀가 했으니 당신도 할 수 있다!
실패가 두렵지 않은 발칙한 요리 도전기, 포토툰으로 만나다.",https://comic.naver.com/webtoon/list?titleId=409630,9.83,정다정,정다정,,,개그,https://image-comic.pstatic.net/webtoon/409630/thumbnail/thumbnail_IMAG21_3617628775152562227.jpg,TRUE,#개그 #음식&요리 #완결개그
공감.jpg,"""이거 나만 그런거 아니지?""
응, 너만 그런거 아니야. 반박불가 공감이 밀려온다.",https://comic.naver.com/webtoon/list?titleId=686911,4.45,임총,임총,,,개그,https://image-comic.pstatic.net/webtoon/686911/thumbnail/thumbnail_IMAG21_7220736290720866871.jpg,TRUE,#개그 #완결무료 #완결개그
삼국전투기,"삼국의 에이스가 선보이는 피튀기는 한판 승부! 
삼국지의 맥을 잇는, 패러디 대마왕 최훈 작가의 이색 삼국 전투기!!",https://comic.naver.com/webtoon/list?titleId=22027,9.39,최훈,최훈,,,개그,https://image-comic.pstatic.net/webtoon/22027/thumbnail/thumbnail_IMAG21_3618751570556366947.jpg,TRUE,#개그 #완결개그
만물의 영장휴재,"바다에 빠져 실종된 후, 무인도에서 7년 만에 살아 돌아온 우영장의 좌충우돌 문명 적응기!
그의 몸은 단단한 근육질로 변했고 온갖 동물과의 의사소통은 물론, 특별한 능력까지 구사하며 사건사고가 끊이질 않는다.
과연 영장은 밀림보다 무섭다는 도시에서 살아남을 수 있을까?",https://comic.naver.com/webtoon/list?titleId=729964,9.96,보민,보민,,,개그,https://image-comic.pstatic.net/webtoon/729964/thumbnail/thumbnail_IMAG21_7005129546507903842.jpg,TRUE,#개그 #4차원 #인외존재 #소년왕도물 #먼치킨 #동물
심심한 마왕,평화로운(?) 마계에서 평화롭게(?) 살아가는 심심한 마왕의 심심하지만은 않은 이야기,https://comic.naver.com/webtoon/list?titleId=374974,9.86,김상민,김상민,,,개그,https://image-comic.pstatic.net/webtoon/374974/thumbnail/thumbnail_IMAG21_7221068128470577204.jpg,TRUE,#개그 #완결개그
