title,introduction,link,rating,story,illust,origin,day,genre,image,is_done_flag,tags,age
"푸른 밤, 황홀의 윤무","평범한 회사원 강서윤은 피아니스트 안희원의 연주회장에서 깜빡 잠이 든다. 사람 한 명 남지 않은 콘서트홀에 남아 있던 그녀는 살인 사건을 방조하고 피 웅덩이에서 피아노를 연주하는 안희원을 목격하는데……?
“그러니까 먹히든지, 죽든지. 선택은 우리 서윤 씨가 해요.”",https://comic.naver.com/webtoon/list?titleId=803119,9.94,호찌,해독,유안나,금,로맨스,https://image-comic.pstatic.net/webtoon/803119/thumbnail/thumbnail_IMAG21_cfc478c6-3b56-4bdf-b959-089775b2b916.jpg,FALSE,#로맨스#고자극로맨스#혐관로맨스#뱀파이어#까칠남#소설원작,15세 이용가
뜨거운 홍차,"학교를 자퇴하고 생계를 위해 아르바이트를 전전하는 누리.
신세지고 있던 회장님 댁 아들이 오토바이 사고로 장기입원한다.
회장님의 분노를 염려한 사모님은 아들과 똑 닮은 누리에게 남장을 하고 학교를 대신 다녀줄 것을 제안하는데...
""아니... 사모님, 저는 여자인데요...?""",https://comic.naver.com/webtoon/list?titleId=801992,9.8,에리카,ZZING,김빵,금,로맨스,https://image-comic.pstatic.net/webtoon/801992/thumbnail/thumbnail_IMAG21_84951a6c-71f7-42d1-8656-2625b47a9de9.jpg,FALSE,#로맨스#학원로맨스#소설원작,전체연령가
"집사, 주세요!","왕따인 내가 서열1위 존잘남을 내 집사로...?!
학교에선 왕따, 집에선 재벌 아가씨인 '백마리'.
학교에선 서열 1위, 집에선 마리의 집사인 '천하다'.
천방지축 왕따 아가씨를 어떻게든 학교의 퀸으로 만들어야 한다!!
정반대인 소년소녀의 서열반전 로맨스.
<저세상 클라스!> 꾀돌이 작가의 신작",https://comic.naver.com/webtoon/list?titleId=802033,9.91,꾀돌이,꾀돌이,,월,로맨스,https://image-comic.pstatic.net/webtoon/802033/thumbnail/thumbnail_IMAG21_ccce5530-0976-4a0d-b76c-d54c5620cdd5.jpg,FALSE,#로맨스#로맨스코미디#4차원#학원로맨스#하이틴#역하렘,전체연령가
"엔딩, 바꿔보려합니다","배드엔딩만 쓰는 피폐소설작가 변수아는
누군가의 저주로 인해 현재 연재중인  ‘청춘의 끝에’의 악녀 최세화로 빙의된다.
인성파탄자, 소시오패스, 이중인격자, 싸이코패스뿐인 소설 속에서
과연 수아는 살아서 원래 세계로 돌아갈 수 있을까?",https://comic.naver.com/webtoon/list?titleId=802378,9.93,모카빵,모카빵,,목,로맨스,https://image-comic.pstatic.net/webtoon/802378/thumbnail/thumbnail_IMAG21_4d347ef2-c648-4ef7-9f75-ac913b452359.jpg,FALSE,#로맨스#2020 지상최대공모전#학원로맨스#역하렘#빙의#로판,12세 이용가
별빛 커튼콜,"화려한 인플루언서로 살아온 '문유별'. 
아버지 사업이 망하며 성월에 있는 외할아버지 집으로 쫓기듯 내려오고, 
그곳에 살고 있는 남자 '오리온'을 만나게 된다. 
​
빚더미에서 벗어나기 위해, 
외할아버지가 남긴 유산을 받으려 고군분투하는 유별과, 
사사건건 유별을 방해하는 리온. 
​
과연 유별은 무사히 유산을 받고 원래의 삶으로 돌아갈 수 있을까? 
성월에서 펼쳐지는 힐링 로맨스!",https://comic.naver.com/webtoon/list?titleId=793410,9.95,아르몽,아르몽,,금,로맨스,https://image-comic.pstatic.net/webtoon/793410/thumbnail/thumbnail_IMAG21_e2baecd4-0f45-40b2-9de9-667f86e1f7f2.jpg,FALSE,#로맨스#힐링#청춘로맨스#인플루언서#성장드라마,전체연령가
청춘일지,"지긋지긋한 재수생활을 딛고 설레는 마음으로 들어선 대학.
대학에 대한 로망이 백만 가지쯤 되는 다봄은 첫날부터 빌런과 마주하게 되는데…
시작부터 어딘가 삐걱! 이대로 내 캠퍼스 생활 괜찮은 걸까?!",https://comic.naver.com/webtoon/list?titleId=797932,9.93,쏘림,쏘림,,토,로맨스,https://image-comic.pstatic.net/webtoon/797932/thumbnail/thumbnail_IMAG21_ef5d2231-8978-4ebd-8e85-8bf73437da62.jpg,FALSE,#로맨스#2030연애#로맨스코미디#청춘로맨스#캠퍼스로맨스,전체연령가
그 남자의 은밀한 하루,"의뢰인 대신 이별을 해주는 이별 대행 업체의 직원 '하루.' 어느 날 사람을 착각해 엉뚱한 사람에게 이별을 고하게 되는데, 하필 그 남자는 직장 상사 '우현'...! 그 일로 우현은 진짜 연인과 헤어져 버리는데, 죄책감에 빠진 하루에게 우현이 제안을 한다. ""1년 동안, 나랑 사귀자고.""",https://comic.naver.com/webtoon/list?titleId=800504,9.93,탄단,이로,백묘,수,로맨스,https://image-comic.pstatic.net/webtoon/800504/thumbnail/thumbnail_IMAG21_de7f2718-2ed9-4688-890d-fc73b9179c1d.jpg,FALSE,#로맨스#2030연애#계약연애#현실로맨스#오피스로맨스#사내연애#소설원작,12세 이용가
108명의 그녀들,"위대한 마녀이자 개국 공신인 황후 '데사'는 황제의 진심을 시험하기 위해 똑같은 얼굴의 108명 사이에서 자신을 찾아 내라는 내기를 제안한다.
한편, 데사를 흠모하던 어린 마녀 '아리트'는 데사를 막기 위해 몰래 내기에 참여하는데?!",https://comic.naver.com/webtoon/list?titleId=798303,9.95,고송,레죵,,일,로맨스,https://image-comic.pstatic.net/webtoon/798303/thumbnail/thumbnail_IMAG21_ba8821d3-95a0-4916-a95d-7ab265982ef8.jpg,FALSE,#로맨스#로판#소설원작,전체연령가
생존고백,"퇴마사가 귀신인 나에게 반해버렸다...?! 
퇴마사로부터 살아남기 위해 거짓 고백을 해버린 한 귀신의 생존 서바이벌 연애기",https://comic.naver.com/webtoon/list?titleId=786262,9.95,박태현,박태현,,일,로맨스,https://image-comic.pstatic.net/webtoon/786262/thumbnail/thumbnail_IMAG21_ef76cf9e-0742-400a-8dcb-2720679c9764.jpg,FALSE,#로맨스#2021 지상최대공모전#오컬트,12세 이용가
백설을 위하여,"이번 생에선 내가 백설이 되어야 한다.' 이복 오라비의 명을 받은 기사에게 죽임 당하는 미래를 알게 됐다. 살아남기 위해 그 기사에게 동정받을 계획이었다. 하지만 그를 알아갈수록 동정이 아닌, 그의 행복을 원하게 됐다.",https://comic.naver.com/webtoon/list?titleId=801580,9.95,러스츄,김햐,찬겨울,일,로맨스,https://image-comic.pstatic.net/webtoon/801580/thumbnail/thumbnail_IMAG21_fe3ba1fc-a481-42db-bd91-7d2a02f599a6.jpg,FALSE,#로맨스#소설원작,15세 이용가
